STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Zone de référence,CITIZENSHIP,Nationalité,FREQ,Fréquence d'observation,MEASURE,Mesure,SEX,Sexe,BIRTH_PLACE,Lieu de naissance,EDUCATION_LEV,Niveau d'éducation,UNIT_MEASURE,Unité de mesure,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur d'observation,OBS_STATUS,Statut d'observation,UNIT_MULT,Multiplicateur d'unité,DECIMALS,Decimals
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Résultats des immigrés sur le marché du travail - Taux d'emploi, de chômage et de participation par sexe",I,BEL,Belgique,_Z,Non applicable,A,Annuelle,EMP_WAP,Taux d'emploi,F,Sexe féminin,NB,Nés dans le pays,_Z,Non applicable,PT_WAP_SUB,Pourcentage de la population en âge de travailler dans le même sous-groupe,2020,,63.59082031,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Résultats des immigrés sur le marché du travail - Taux d'emploi, de chômage et de participation par sexe",I,GRC,Grèce,_Z,Non applicable,A,Annuelle,EMP_WAP,Taux d'emploi,_T,Total,FB,Nés à l'étranger,_Z,Non applicable,PT_WAP_SUB,Pourcentage de la population en âge de travailler dans le même sous-groupe,2020,,50.64778137,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Résultats des immigrés sur le marché du travail - Taux d'emploi, de chômage et de participation par sexe",I,FRA,France,_Z,Non applicable,A,Annuelle,EMP_WAP,Taux d'emploi,_T,Total,FB,Nés à l'étranger,_Z,Non applicable,PT_WAP_SUB,Pourcentage de la population en âge de travailler dans le même sous-groupe,2014,,56.36568832,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Résultats des immigrés sur le marché du travail - Taux d'emploi, de chômage et de participation par sexe",I,FRA,France,_Z,Non applicable,A,Annuelle,EMP_WAP,Taux d'emploi,_T,Total,FB,Nés à l'étranger,_Z,Non applicable,PT_WAP_SUB,Pourcentage de la population en âge de travailler dans le même sous-groupe,2015,,55.46831894,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Résultats des immigrés sur le marché du travail - Taux d'emploi, de chômage et de participation par sexe",I,FRA,France,_Z,Non applicable,A,Annuelle,EMP_WAP,Taux d'emploi,_T,Total,FB,Nés à l'étranger,_Z,Non applicable,PT_WAP_SUB,Pourcentage de la population en âge de travailler dans le même sous-groupe,2016,,55.28126907,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Résultats des immigrés sur le marché du travail - Taux d'emploi, de chômage et de participation par sexe",I,FRA,France,_Z,Non applicable,A,Annuelle,EMP_WAP,Taux d'emploi,_T,Total,FB,Nés à l'étranger,_Z,Non applicable,PT_WAP_SUB,Pourcentage de la population en âge de travailler dans le même sous-groupe,2017,,56.6256218,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Résultats des immigrés sur le marché du travail - Taux d'emploi, de chômage et de participation par sexe",I,FRA,France,_Z,Non applicable,A,Annuelle,EMP_WAP,Taux d'emploi,_T,Total,FB,Nés à l'étranger,_Z,Non applicable,PT_WAP_SUB,Pourcentage de la population en âge de travailler dans le même sous-groupe,2018,,58.51208115,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Résultats des immigrés sur le marché du travail - Taux d'emploi, de chômage et de participation par sexe",I,FRA,France,_Z,Non applicable,A,Annuelle,EMP_WAP,Taux d'emploi,_T,Total,FB,Nés à l'étranger,_Z,Non applicable,PT_WAP_SUB,Pourcentage de la population en âge de travailler dans le même sous-groupe,2019,,58.89756012,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Résultats des immigrés sur le marché du travail - Taux d'emploi, de chômage et de participation par sexe",I,GRC,Grèce,_Z,Non applicable,A,Annuelle,EMP_WAP,Taux d'emploi,F,Sexe féminin,FB,Nés à l'étranger,_Z,Non applicable,PT_WAP_SUB,Pourcentage de la population en âge de travailler dans le même sous-groupe,2022,,46.30233002,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Résultats des immigrés sur le marché du travail - Taux d'emploi, de chômage et de participation par sexe",I,GRC,Grèce,_Z,Non applicable,A,Annuelle,EMP_WAP,Taux d'emploi,F,Sexe féminin,FB,Nés à l'étranger,_Z,Non applicable,PT_WAP_SUB,Pourcentage de la population en âge de travailler dans le même sous-groupe,2012,,41.49525833,,A,Normal value,0,Units,1,One
